BusinessEntityID,PersonType,Title,FirstName,MiddleName,LastName,Suffix,EmailPromotion,rowguid,ModifiedDate,NameStyle
1,EM,,Ken,J,Sánchez,,0,{92C4279F-1207-48A3-8448-4636514EB7E2},2009-01-07 00:00:00,False
2,EM,,Terri,Lee,Duffy,,1,{D8763459-8AA8-47CC-AFF7-C9079AF79033},2008-01-24 00:00:00,False
3,EM,,Roberto,,Tamburello,,0,{E1A2555E-0828-434B-A33B-6F38136A37DE},2007-11-04 00:00:00,False
4,EM,,Rob,,Walters,,0,{F2D7CE06-38B3-4357-805B-F4B6B71C01FF},2007-11-28 00:00:00,False
5,EM,Ms.,Gail,A,Erickson,,0,{F3A3F6B4-AE3B-430C-A754-9F2231BA6FEF},2007-12-30 00:00:00,False
6,EM,Mr.,Jossef,H,Goldberg,,0,{0DEA28FD-EFFE-482A-AFD3-B7E8F199D56F},2013-12-16 00:00:00,False
7,EM,,Dylan,A,Miller,,2,{C45E8AB8-01BE-4B76-B215-820C8368181A},2009-02-01 00:00:00,False
8,EM,,Diane,L,Margheim,,0,{A948E590-4A56-45A9-BC9A-160A1CC9D990},2008-12-22 00:00:00,False
9,EM,,Gigi,N,Matthew,,0,{5FC28C0E-6D36-4252-9846-05CAA0B1F6C5},2009-01-09 00:00:00,False
10,EM,,Michael,,Raheem,,2,{CA2C740E-75B2-420C-9D4B-E3CBC6609604},2009-04-26 00:00:00,False
11,EM,,Ovidiu,V,Cracium,,0,{D2CC2577-EF6B-4408-BD8C-747337FE5645},2010-11-28 00:00:00,False
12,EM,,Thierry,B,D'Hers,,2,{FA263C7F-600D-4E89-8DCD-0978F3530F5F},2007-12-04 00:00:00,False
13,EM,Ms.,Janice,M,Galvin,,2,{34EB99E0-7042-4DC1-A2FD-BDA290FF0E07},2010-12-16 00:00:00,False
14,EM,,Michael,I,Sullivan,,2,{9A7501DE-5CAF-4700-AB07-CC81102BB696},2010-12-23 00:00:00,False
15,EM,,Sharon,B,Salavaria,,2,{BEBA63CB-13F1-4B76-A3DE-FE9AC283A94C},2011-01-11 00:00:00,False
16,EM,,David,M,Bradley,,1,{2CC8BA72-5DBB-497F-B941-775517993638},2007-12-13 00:00:00,False
17,EM,,Kevin,F,Brown,,2,{9EE4713E-B3D8-4409-BC5E-DEC62497F43A},2007-01-19 00:00:00,False
18,EM,,John,L,Wood,,2,{FE21BDA7-9327-4D13-89CC-8CA5CEE8F21E},2011-01-31 00:00:00,False
19,EM,,Mary,A,Dempsey,,1,{36F04305-6769-4E61-9143-048B2B7AFA20},2011-02-07 00:00:00,False
20,EM,,Wanida,M,Benshoof,,2,{1E7E56F4-A583-4E3F-A3FE-BA8A71096D10},2010-12-31 00:00:00,False
21,EM,,Terry,J,Eminhizer,,2,{6A288FE0-D9CB-4DA2-BEEA-51370220490C},2009-02-23 00:00:00,False
